date|commodity|variety-source|region|store|price
september_04_2021|Lettuce|Iceberg (Imported)|halfway tree|Brooklyn|-
september_04_2021|Lettuce|Iceberg (Imported)|halfway tree|hi-lo|-
september_04_2021|Lettuce|Iceberg (Imported)|washington boulevard|shopper's fair|-
september_04_2021|Lettuce|Iceberg (Imported)|Duhaney Park|shopper's fair|-
september_04_2021|Lettuce|Iceberg (Imported)|barbican road|Loshusan|-
september_04_2021|Lettuce|Iceberg (Imported)|barbican road|hi-lo|-
september_04_2021|Lettuce|Iceberg (Imported)|constant spring|hi-lo|-
september_04_2021|Lettuce|Iceberg (Imported)|harbour view|shoppers fair|-
september_04_2021|Lettuce|Iceberg (Imported)|red hills road|lee's food|-
september_04_2021|Lettuce|Iceberg (Imported)|red hills road|price smart|-
september_04_2021|Lettuce|Iceberg (Imported)|portmore|mega mart|1840
september_04_2021|Lettuce|Iceberg (Imported)|portmore|hi-lo|-
september_04_2021|Lettuce|Iceberg (Local)|cross roads|sampars|704
september_04_2021|Lettuce|Iceberg (Local)|cross roads|hi-lo|650
september_04_2021|Lettuce|Iceberg (Local)|waterloo road|mega mart|-
september_04_2021|Lettuce|Iceberg (Local)|new kingston|John R Wong|660
september_04_2021|Lettuce|Iceberg (Local)|halfway tree|Brooklyn|457.6
september_04_2021|Lettuce|Iceberg (Local)|halfway tree|hi-lo|650
september_04_2021|Lettuce|Iceberg (Local)|washington boulevard|shopper's fair|363
september_04_2021|Lettuce|Iceberg (Local)|Duhaney Park|shopper's fair|363
september_04_2021|Lettuce|Iceberg (Local)|barbican road|Loshusan|660
september_04_2021|Lettuce|Iceberg (Local)|barbican road|hi-lo|650
september_04_2021|Lettuce|Iceberg (Local)|constant spring|hi-lo|759
september_04_2021|Lettuce|Iceberg (Local)|harbour view|shoppers fair|363
september_04_2021|Lettuce|Iceberg (Local)|red hills road|lee's food|637.12
september_04_2021|Lettuce|Iceberg (Local)|red hills road|price smart|1212.85
september_04_2021|Lettuce|Iceberg (Local)|portmore|mega mart|795
september_04_2021|Lettuce|Iceberg (Local)|portmore|hi-lo|650
september_04_2021|Lettuce|Other|cross roads|sampars|-
september_04_2021|Lettuce|Other|cross roads|hi-lo|-
september_04_2021|Lettuce|Other|waterloo road|mega mart|-
september_04_2021|Lettuce|Other|new kingston|John R Wong|-
september_04_2021|Lettuce|Other|halfway tree|Brooklyn|-
september_04_2021|Lettuce|Other|halfway tree|hi-lo|-
september_04_2021|Lettuce|Other|washington boulevard|shopper's fair|-
september_04_2021|Lettuce|Other|Duhaney Park|shopper's fair|-
september_04_2021|Lettuce|Other|barbican road|Loshusan|-
september_04_2021|Lettuce|Other|barbican road|hi-lo|-
september_04_2021|Lettuce|Other|constant spring|hi-lo|-
september_04_2021|Lettuce|Other|harbour view|shoppers fair|-
september_04_2021|Lettuce|Other|red hills road|lee's food|-
september_04_2021|Lettuce|Other|red hills road|price smart|-
september_04_2021|Lettuce|Other|portmore|mega mart|-
september_04_2021|Lettuce|Other|portmore|hi-lo|-
september_04_2021|Lettuce|Romaine (Imported)|cross roads|sampars|-
september_04_2021|Lettuce|Romaine (Imported)|cross roads|hi-lo|-
september_04_2021|Lettuce|Romaine (Imported)|waterloo road|mega mart|-
september_04_2021|Lettuce|Romaine (Imported)|new kingston|John R Wong|-
september_04_2021|Lettuce|Romaine (Imported)|halfway tree|Brooklyn|-
september_04_2021|Lettuce|Romaine (Imported)|halfway tree|hi-lo|-
september_04_2021|Lettuce|Romaine (Imported)|washington boulevard|shopper's fair|-
september_04_2021|Lettuce|Romaine (Imported)|Duhaney Park|shopper's fair|-
september_04_2021|Lettuce|Romaine (Imported)|barbican road|Loshusan|-
september_04_2021|Lettuce|Romaine (Imported)|barbican road|hi-lo|-
september_04_2021|Lettuce|Romaine (Imported)|constant spring|hi-lo|-
